,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
951,52,            46,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,31,October 25 2019
952,53,            50,        ,HOME P*SSY,D-BLOCK EUROPE,D BLOCK EUROPE,20,15,October 25 2019
953,54,            51,        ,WRITING ON THE WALL,FRENCH MONTANA/MALONE/CARDI B,BAD BOY/EPIC,44,4,October 25 2019
954,55,            56,        ,LOVE ME AGAIN,RAYE,POLYDOR,55,8,October 25 2019
955,56,            47,        ,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,EMI,4,25,October 25 2019
956,57,            43,        ,WILEY FLOW,STORMZY,ATLANTIC/MERKY,22,6,October 25 2019
957,58,            66,        ,DON'T LEAVE ME LONELY,MARK RONSON FT YEBBA,COLUMBIA,58,2,October 25 2019
958,59,            New,        ,G LOVE,KREPT & KONAN/WIZKID,VIRGIN,59,1,October 25 2019
959,60,            58,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,30,October 25 2019
960,61,            53,        ,PLAYING FOR KEEPS,D-BLOCK EUROPE FT DAVE,D-BLOCK EUROPE,21,4,October 25 2019
961,62,            63,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,33,October 25 2019
962,63,            59,        ,PANINI,LIL NAS X,LIL NAS X,21,18,October 25 2019
963,64,            62,        ,SO HIGH,MIST FT FREDO,SINCE 93/WARNER RECORDS,7,16,October 25 2019
964,65,            New,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,65,1,October 25 2019
965,66,            60,        ,SAINT-TROPEZ,POST MALONE,REPUBLIC RECORDS,52,3,October 25 2019
966,67,            New,        ,DHL,FRANK OCEAN,BLONDED,67,1,October 25 2019
967,68,            Re,        ,MAKE IT RIGHT,BTS,BIGHIT ENTERTAINMENT,68,2,October 25 2019
968,69,            69,        ,F.N,LIL TJAY,COLUMBIA,69,9,October 25 2019
969,70,            85,        ,TRAMPOLINE,SHAED,CAROLINE,70,3,October 25 2019
970,71,            68,        ,VOSSI BOP,STORMZY,MERKY,1,26,October 25 2019
971,72,            90,        ,PUMP IT UP,ENDOR,DEFECTED,72,2,October 25 2019
972,73,            74,        ,223'S,YNW MELLY FT 9LOKKNINE,300 ENTERTAINMENT,69,4,October 25 2019
973,74,            76,        ,2 CUPS,LIZZY/TORY LANEZ/FREDO/POPCAAN,ISLAND,55,4,October 25 2019
974,75,            New,        ,SOMEBODY,INTERNET MONEY/TECCA/BOOGIE,TENTHOUSAND PROJECTS,75,1,October 25 2019
975,76,            81,        ,2 ON 2,TION WAYNE & JAY1,EMI,53,4,October 25 2019
976,77,            70,        ,4AM IN COVENTRY,JAY1,PARLOPHONE,44,5,October 25 2019
977,78,            80,        ,LOVE ME,LIL TECCA,LIL TECCA,66,8,October 25 2019
978,79,            79,        ,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,POLYDOR,2,32,October 25 2019
979,80,            77,        ,NO GUIDANCE,CHRIS BROWN FT DRAKE,CHRIS BROWN ENTERTAINMENT/RCA,6,20,October 25 2019
980,81,            75,        ,WISH YOU WELL,SIGALA & BECKY HILL,MINISTRY OF SOUND,8,22,October 25 2019
981,82,            82,        ,BEHIND BARZ,DRAKE,WARNER RECORDS,49,6,October 25 2019
982,83,            73,        ,SHOTGUN,GEORGE EZRA,COLUMBIA,1,83,October 25 2019
983,84,            71,        ,CAT PACK,AJ TRACEY,AJ TRACEY,56,3,October 25 2019
984,85,            78,        ,SHALLOW,LADY GAGA & BRADLEY COOPER,INTERSCOPE,1,56,October 25 2019
985,86,            84,        ,WE GOT THAT COOL,YVES V FT AFROJACK & ICONA POP,SPINNIN',68,7,October 25 2019
986,87,            New,        ,THE RUNNER,FOALS,WARNER RECORDS,87,1,October 25 2019
987,88,            72,        ,MAD LOVE,MABEL,POLYDOR,8,20,October 25 2019
988,89,            91,        ,GIRLS NEED LOVE,SUMMER WALKER FT DRAKE,INTERSCOPE,41,8,October 25 2019
989,90,            89,        ,LONELY,DIPLO & JONAS BROTHERS,COLUMBIA,89,3,October 25 2019
990,91,            Re,        ,DON'T CALL ME UP,MABEL,POLYDOR,3,38,October 25 2019
991,92,            83,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,7,October 25 2019
992,93,            94,        ,TOAST,KOFFEE,COLUMBIA,70,17,October 25 2019
993,94,            87,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,19,October 25 2019
994,95,            97,        ,KEISHA & BECKY,RUSS & TION WAYNE,VIRGIN,7,31,October 25 2019
995,96,            92,        ,GOOD THING,ZEDD & KEHLANI,INTERSCOPE,92,2,October 25 2019
996,97,            New,        ,10/10,WRETCH 32 FT GIGGS,POLYDOR,97,1,October 25 2019
997,98,            Re,        ,STACK IT UP,LIAM PAYNE/A BOOGIE WIT DA,CAPITOL,84,2,October 25 2019
998,99,            New,        ,THERE FOR YOU,GORGON CITY & MK,VIRGIN,99,1,October 25 2019
999,100,            New,        ,JOYS,ROBERTO SURACE,DEFECTED,100,1,October 25 2019
1000,1,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,11,October 18 2019
1001,2,            3,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,9,October 18 2019
1002,3,            New,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,1,October 18 2019
1003,4,            5,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,4,7,October 18 2019
1004,5,            2,        ,HIGHEST IN THE ROOM,TRAVIS SCOTT,CACTUS JACK/EPIC/GRAND HUSTLE,2,2,October 18 2019
1005,6,            8,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,6,18,October 18 2019
1006,7,            24,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,7,3,October 18 2019
1007,8,            11,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,8,9,October 18 2019
1008,9,            16,        ,BRUISES,LEWIS CAPALDI,EMI,9,20,October 18 2019
1009,10,            13,        ,POST MALONE,SAM FELDT FT RANI,SPINNIN',10,15,October 18 2019
1010,11,            20,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,11,6,October 18 2019
1011,12,            18,        ,PROFESSOR X,DAVE,WARNER RECORDS,12,5,October 18 2019
1012,13,            17,        ,BOTH,HEADIE ONE,RELENTLESS,13,9,October 18 2019
1013,14,            15,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,12,October 18 2019
1014,15,            32,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,15,4,October 18 2019
1015,16,            29,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,16,5,October 18 2019
1016,17,            New,        ,47,WALA/MIST/BANGLEZ/STEFFLON,CATALYST,17,1,October 18 2019
1017,18,            23,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,42,October 18 2019
1018,19,            48,        ,MEMORIES,MAROON 5,INTERSCOPE,19,4,October 18 2019
1019,20,            19,        ,10000 HOURS,DAN & SHAY FT JUSTIN BIEBER,DEF JAM/WARNER RECORDS,19,2,October 18 2019
1020,21,            27,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,21,6,October 18 2019
1021,22,            28,        ,GOOD AS HELL,LIZZO,ATLANTIC,22,12,October 18 2019
1022,23,            6,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,16,October 18 2019
1023,24,            21,        ,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY,POLYDOR/RCA/REPUBLIC RECORDS,2,5,October 18 2019
1024,25,            7,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,15,October 18 2019
1025,26,            4,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,33,October 18 2019
1026,27,            30,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,17,October 18 2019
1027,28,            31,        ,MOTIVATION,NORMANI,KEEP COOL,27,9,October 18 2019
1028,29,            26,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,11,October 18 2019
1029,30,            25,        ,PLAYING GAMES,SUMMER WALKER,INTERSCOPE,25,4,October 18 2019
1030,31,            33,        ,TRUTH HURTS,LIZZO,ATLANTIC,29,25,October 18 2019
1031,32,            9,        ,3 NIGHTS,DOMINIC FIKE,COLUMBIA,3,24,October 18 2019
1032,33,            New,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,33,1,October 18 2019
1033,34,            35,        ,F**K I'M LONELY,LAUV & ANNE-MARIE,LAUV,32,11,October 18 2019
1034,35,            34,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,16,October 18 2019
1035,36,            38,        ,GRAVEYARD,HALSEY,VIRGIN,36,5,October 18 2019
1036,37,            36,        ,LALALA,Y2K & BBNOS,COLUMBIA,32,16,October 18 2019
1037,38,            10,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,19,October 18 2019
1038,39,            12,        ,HOW DO YOU SLEEP,SAM SMITH,CAPITOL,7,13,October 18 2019
1039,40,            14,        ,RANSOM,LIL TECCA,GALACTIC,7,18,October 18 2019
1040,41,            58,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,41,4,October 18 2019
1041,42,            Re,        ,OUTSIDE,D-BLOCK EUROPE,D-BLOCK EUROPE,42,2,October 18 2019
1042,43,            40,        ,WILEY FLOW,STORMZY,ATLANTIC/MERKY,22,5,October 18 2019
1043,44,            43,        ,TAKE WHAT YOU WANT,POST MALONE/OSBOURNE/SCOTT,EPIC/REPUBLIC RECORDS,22,3,October 18 2019
1044,45,            New,        ,OPP THOT,POUNDZ,DISTURBING LONDON,45,1,October 18 2019
1045,46,            46,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,30,October 18 2019
1046,47,            45,        ,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,EMI,4,24,October 18 2019
1047,48,            63,        ,THE LAST TIME,SCRIPT,COLUMBIA,48,4,October 18 2019
1048,49,            51,        ,NICE TO MEET YA,NIALL HORAN,CAPITOL,49,2,October 18 2019
1049,50,            41,        ,HOME P*SSY,D-BLOCK EUROPE,D BLOCK EUROPE,20,14,October 18 2019
1050,51,            50,        ,WRITING ON THE WALL,FRENCH MONTANA/MALONE/CARDI B,BAD BOY/EPIC,44,3,October 18 2019
1051,52,            47,        ,BANDIT,JUICE WRLD/YOUNGBOY NEVER,INTERSCOPE,47,2,October 18 2019
1052,53,            37,        ,PLAYING FOR KEEPS,D-BLOCK EUROPE FT DAVE,D-BLOCK EUROPE,21,3,October 18 2019
1053,54,            64,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,54,4,October 18 2019
1054,55,            42,        ,COME THRU,SUMMER WALKER/USHER,INTERSCOPE,42,2,October 18 2019
1055,56,            60,        ,LOVE ME AGAIN,RAYE,POLYDOR,56,7,October 18 2019
1056,57,            49,        ,TRUST ISSUES,NSG,NSG,49,2,October 18 2019
1057,58,            53,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,29,October 18 2019
1058,59,            22,        ,PANINI,LIL NAS X,LIL NAS X,21,17,October 18 2019
1059,60,            52,        ,SAINT-TROPEZ,POST MALONE,REPUBLIC RECORDS,52,2,October 18 2019
1060,61,            54,        ,LOVER,TAYLOR SWIFT,EMI,14,9,October 18 2019
1061,62,            55,        ,SO HIGH,MIST FT FREDO,SINCE 93/WARNER RECORDS,7,15,October 18 2019
1062,63,            57,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,32,October 18 2019
1063,64,            New,        ,SUN QUEEN,GERRY CINNAMON,LITTLE RUNAWAY,64,1,October 18 2019
1064,65,            61,        ,SLIDE AWAY,MILEY CYRUS,RCA,40,9,October 18 2019
1065,66,            New,        ,DON'T LEAVE ME LONELY,MARK RONSON FT YEBBA,COLUMBIA,66,1,October 18 2019
1066,67,            62,        ,WILL WE TALK,SAM FENDER,POLYDOR,43,9,October 18 2019
1067,68,            66,        ,VOSSI BOP,STORMZY,MERKY,1,25,October 18 2019
1068,69,            97,        ,F.N,LIL TJAY,COLUMBIA,69,8,October 18 2019
1069,70,            65,        ,4AM IN COVENTRY,JAY1,PARLOPHONE,44,4,October 18 2019
1070,71,            56,        ,CAT PACK,AJ TRACEY,AJ TRACEY,56,2,October 18 2019
1071,72,            72,        ,MAD LOVE,MABEL,POLYDOR,8,19,October 18 2019
1072,73,            80,        ,SHOTGUN,GEORGE EZRA,COLUMBIA,1,82,October 18 2019
1073,74,            69,        ,223'S,YNW MELLY FT 9LOKKNINE,300 ENTERTAINMENT,69,3,October 18 2019
1074,75,            75,        ,WISH YOU WELL,SIGALA & BECKY HILL,MINISTRY OF SOUND,8,21,October 18 2019
1075,76,            78,        ,2 CUPS,LIZZY/TORY LANEZ/FREDO/POPCAAN,ISLAND,55,3,October 18 2019
1076,77,            68,        ,NO GUIDANCE,CHRIS BROWN FT DRAKE,CHRIS BROWN ENTERTAINMENT/RCA,6,19,October 18 2019
1077,78,            67,        ,SHALLOW,LADY GAGA & BRADLEY COOPER,INTERSCOPE,1,55,October 18 2019
1078,79,            82,        ,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,POLYDOR,2,31,October 18 2019
1079,80,            79,        ,LOVE ME,LIL TECCA,LIL TECCA,66,7,October 18 2019
1080,81,            76,        ,2 ON 2,TION WAYNE & JAY1,EMI,53,3,October 18 2019
1081,82,            71,        ,BEHIND BARZ,DRAKE,WARNER RECORDS,49,5,October 18 2019
1082,83,            59,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,6,October 18 2019
1083,84,            74,        ,WE GOT THAT COOL,YVES V FT AFROJACK & ICONA POP,SPINNIN',68,6,October 18 2019
1084,85,            99,        ,TRAMPOLINE,SHAED,CAROLINE,85,2,October 18 2019
1085,86,            New,        ,EASY,CAMILA CABELLO,EPIC/SYCO MUSIC,86,1,October 18 2019
1086,87,            83,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,18,October 18 2019
1087,88,            84,        ,RIGHT BACK,KHALID/A BOOGIE WIT DA HOODIE,RIGHT HAND MUSIC,71,9,October 18 2019
1088,89,            Re,        ,LONELY,DIPLO & JONAS BROTHERS,COLUMBIA,89,2,October 18 2019
1089,90,            New,        ,PUMP IT UP,ENDOR,DEFECTED,90,1,October 18 2019
1090,91,            Re,        ,GIRLS NEED LOVE,SUMMER WALKER FT DRAKE,INTERSCOPE,41,7,October 18 2019
1091,92,            New,        ,GOOD THING,ZEDD & KEHLANI,INTERSCOPE,92,1,October 18 2019
1092,93,            90,        ,JUST YOU AND I,TOM WALKER,RELENTLESS,3,40,October 18 2019
1093,94,            96,        ,TOAST,KOFFEE,COLUMBIA,70,16,October 18 2019
1094,95,            39,        ,HARDER,JAX JONES & BEBE REXHA,POLYDOR,23,14,October 18 2019
1095,96,            91,        ,GIANT,CALVIN HARRIS & RAG'N'BONE MAN,COLUMBIA,2,40,October 18 2019
1096,97,            86,        ,KEISHA & BECKY,RUSS & TION WAYNE,VIRGIN,7,30,October 18 2019
1097,98,            81,        ,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE,POLYDOR/REPUBLIC RECORDS,4,11,October 18 2019
1098,99,            Re,        ,BABY SHARK,PINKFONG,RELENTLESS,6,50,October 18 2019
1099,100,            95,        ,SWEET BUT PSYCHO,AVA MAX,ATLANTIC,1,52,October 18 2019
1100,1,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,10,October 11 2019
1101,2,            New,        ,HIGHEST IN THE ROOM,TRAVIS SCOTT,CACTUS JACK/EPIC/GRAND HUSTLE,2,1,October 11 2019
1102,3,            2,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,8,October 11 2019
1103,4,            3,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,32,October 11 2019
1104,5,            6,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,5,6,October 11 2019
1105,6,            5,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,15,October 11 2019
1106,7,            7,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,14,October 11 2019
1107,8,            14,        ,OUTNUMBERED,DERMOT KENNEDY,ISLAND,8,17,October 11 2019
1108,9,            8,        ,3 NIGHTS,DOMINIC FIKE,COLUMBIA,3,23,October 11 2019
1109,10,            9,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,18,October 11 2019
1110,11,            15,        ,BE HONEST,JORJA SMITH FT BURNA BOY,FAMM,11,8,October 11 2019
1111,12,            12,        ,HOW DO YOU SLEEP,SAM SMITH,CAPITOL,7,12,October 11 2019
1112,13,            17,        ,POST MALONE,SAM FELDT FT RANI,SPINNIN',13,14,October 11 2019
1113,14,            10,        ,RANSOM,LIL TECCA,GALACTIC,7,17,October 11 2019
1114,15,            13,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,11,October 11 2019
1115,16,            11,        ,BRUISES,LEWIS CAPALDI,EMI,11,19,October 11 2019
1116,17,            16,        ,BOTH,HEADIE ONE,RELENTLESS,13,8,October 11 2019
1117,18,            20,        ,PROFESSOR X,DAVE,WARNER RECORDS,18,4,October 11 2019
1118,19,            New,        ,10000 HOURS,DAN & SHAY FT JUSTIN BIEBER,DEF JAM/WARNER RECORDS,19,1,October 11 2019
1119,20,            25,        ,BUSS DOWN,AITCH FT ZIEZIE,SINCE 93,20,5,October 11 2019
1120,21,            18,        ,DON'T CALL ME ANGEL (CHARLIE'S ANGELS),GRANDE/CYRUS/LANA DEL REY,POLYDOR/RCA/REPUBLIC RECORDS,2,4,October 11 2019
1121,22,            22,        ,PANINI,LIL NAS X,LIL NAS X,21,16,October 11 2019
1122,23,            19,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,41,October 11 2019
1123,24,            40,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,24,2,October 11 2019
1124,25,            93,        ,PLAYING GAMES,SUMMER WALKER,INTERSCOPE,25,3,October 11 2019
1125,26,            4,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,10,October 11 2019
1126,27,            35,        ,LIAR,CAMILA CABELLO,EPIC/SYCO MUSIC,27,5,October 11 2019
1127,28,            26,        ,GOOD AS HELL,LIZZO,ATLANTIC,23,11,October 11 2019
1128,29,            37,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,29,4,October 11 2019
1129,30,            24,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,16,October 11 2019
1130,31,            27,        ,MOTIVATION,NORMANI,KEEP COOL,27,8,October 11 2019
1131,32,            33,        ,GOD IS A DANCER,TIESTO & MABEL,POLYDOR,32,3,October 11 2019
1132,33,            29,        ,TRUTH HURTS,LIZZO,ATLANTIC,29,24,October 11 2019
1133,34,            28,        ,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,ASYLUM/COLUMBIA,1,15,October 11 2019
1134,35,            36,        ,F**K I'M LONELY,LAUV & ANNE-MARIE,LAUV,32,10,October 11 2019
1135,36,            38,        ,LALALA,Y2K & BBNOS,COLUMBIA,32,15,October 11 2019
1136,37,            21,        ,PLAYING FOR KEEPS,D-BLOCK EUROPE FT DAVE,D-BLOCK EUROPE,21,2,October 11 2019
1137,38,            49,        ,GRAVEYARD,HALSEY,VIRGIN,38,4,October 11 2019
1138,39,            32,        ,HARDER,JAX JONES & BEBE REXHA,POLYDOR,23,13,October 11 2019
1139,40,            39,        ,WILEY FLOW,STORMZY,ATLANTIC/MERKY,22,4,October 11 2019
1140,41,            Re,        ,HOME P*SSY,D-BLOCK EUROPE,D BLOCK EUROPE,20,13,October 11 2019
1141,42,            New,        ,COME THRU,SUMMER WALKER/USHER,INTERSCOPE,42,1,October 11 2019
1142,43,            Re,        ,TAKE WHAT YOU WANT,POST MALONE/OSBOURNE/SCOTT,EPIC/REPUBLIC RECORDS,22,2,October 11 2019
1143,44,            30,        ,NOOKIE,D-BLOCK EUROPE FT LIL BABY,D-BLOCK EUROPE,16,4,October 11 2019
1144,45,            41,        ,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,EMI,4,23,October 11 2019
1145,46,            42,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,29,October 11 2019
1146,47,            New,        ,BANDIT,JUICE WRLD/YOUNGBOY NEVER,INTERSCOPE,47,1,October 11 2019
1147,48,            61,        ,MEMORIES,MAROON 5,INTERSCOPE,48,3,October 11 2019
1148,49,            New,        ,TRUST ISSUES,NSG,NSG,49,1,October 11 2019
1149,50,            44,        ,WRITING ON THE WALL,FRENCH MONTANA/MALONE/CARDI B,BAD BOY/EPIC,44,2,October 11 2019
1150,51,            New,        ,NICE TO MEET YA,NIALL HORAN,CAPITOL,51,1,October 11 2019
1151,52,            New,        ,SAINT-TROPEZ,POST MALONE,REPUBLIC RECORDS,52,1,October 11 2019
1152,53,            46,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,28,October 11 2019
1153,54,            51,        ,LOVER,TAYLOR SWIFT,EMI,14,8,October 11 2019
1154,55,            48,        ,SO HIGH,MIST FT FREDO,SINCE 93/WARNER RECORDS,7,14,October 11 2019
1155,56,            New,        ,CAT PACK,AJ TRACEY,AJ TRACEY,56,1,October 11 2019
1156,57,            47,        ,LOCATION,DAVE FT BURNA BOY,DAVE NEIGHBOURHOOD,6,31,October 11 2019
1157,58,            76,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,58,3,October 11 2019
1158,59,            45,        ,SOUNDS OF THE SKENG,STORMZY,ATLANTIC/MERKY,20,5,October 11 2019
1159,60,            63,        ,LOVE ME AGAIN,RAYE,POLYDOR,59,6,October 11 2019
1160,61,            50,        ,SLIDE AWAY,MILEY CYRUS,RCA,40,8,October 11 2019
1161,62,            52,        ,WILL WE TALK,SAM FENDER,POLYDOR,43,8,October 11 2019
1162,63,            60,        ,THE LAST TIME,SCRIPT,COLUMBIA,48,3,October 11 2019
1163,64,            83,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,64,3,October 11 2019
1164,65,            56,        ,4AM IN COVENTRY,JAY1,PARLOPHONE,44,3,October 11 2019
1165,66,            57,        ,VOSSI BOP,STORMZY,MERKY,1,24,October 11 2019
1166,67,            73,        ,SHALLOW,LADY GAGA & BRADLEY COOPER,INTERSCOPE,1,54,October 11 2019
1167,68,            67,        ,NO GUIDANCE,CHRIS BROWN FT DRAKE,CHRIS BROWN ENTERTAINMENT/RCA,6,18,October 11 2019
1168,69,            75,        ,223'S,YNW MELLY FT 9LOKKNINE,300 ENTERTAINMENT,69,2,October 11 2019
1169,70,            New,        ,STRETCH YOU OUT,SUMMER WALKER/A BOOGIE WIT DA,INTERSCOPE,70,1,October 11 2019
1170,71,            62,        ,BEHIND BARZ,DRAKE,WARNER RECORDS,49,4,October 11 2019
1171,72,            64,        ,MAD LOVE,MABEL,POLYDOR,8,18,October 11 2019
1172,73,            65,        ,XTC,SOLARDO & ELI BROWN,MINISTRY OF SOUND,48,10,October 11 2019
1173,74,            68,        ,WE GOT THAT COOL,YVES V FT AFROJACK & ICONA POP,SPINNIN',68,5,October 11 2019
1174,75,            59,        ,WISH YOU WELL,SIGALA & BECKY HILL,MINISTRY OF SOUND,8,20,October 11 2019
1175,76,            53,        ,2 ON 2,TION WAYNE & JAY1,EMI,53,2,October 11 2019
1176,77,            58,        ,HYPERSONIC MISSILES,SAM FENDER,POLYDOR,48,11,October 11 2019
1177,78,            55,        ,2 CUPS,LIZZY/TORY LANEZ/FREDO/POPCAAN,ISLAND,55,2,October 11 2019
1178,79,            66,        ,LOVE ME,LIL TECCA,LIL TECCA,66,6,October 11 2019
1179,80,            71,        ,SHOTGUN,GEORGE EZRA,COLUMBIA,1,81,October 11 2019
1180,81,            34,        ,BOYFRIEND,ARIANA GRANDE & SOCIAL HOUSE,POLYDOR/REPUBLIC RECORDS,4,10,October 11 2019
1181,82,            72,        ,PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,POLYDOR,2,30,October 11 2019
1182,83,            70,        ,CASTLES,FREYA RIDINGS,GOOD SOLDIER,16,17,October 11 2019
1183,84,            78,        ,RIGHT BACK,KHALID/A BOOGIE WIT DA HOODIE,RIGHT HAND MUSIC,71,8,October 11 2019
1184,85,            New,        ,CRY FOR ME,CAMILA CABELLO,EPIC/SYCO MUSIC,85,1,October 11 2019
1185,86,            77,        ,KEISHA & BECKY,RUSS & TION WAYNE,VIRGIN,7,29,October 11 2019
1186,87,            New,        ,SOMETHING ABOUT YOU,ELDERBROOK & RUDIMENTAL,PARLOPHONE,87,1,October 11 2019
1187,88,            New,        ,POWER OVER ME,DERMOT KENNEDY,ISLAND,88,1,October 11 2019
1188,89,            New,        ,ALL MY FRIENDS,DERMOT KENNEDY,ISLAND,89,1,October 11 2019
1189,90,            89,        ,JUST YOU AND I,TOM WALKER,RELENTLESS,3,39,October 11 2019
1190,91,            88,        ,GIANT,CALVIN HARRIS & RAG'N'BONE MAN,COLUMBIA,2,39,October 11 2019
1191,92,            79,        ,RITUAL,TIESTO/JONAS BLUE/RITA ORA,VIRGIN,24,19,October 11 2019
1192,93,            81,        ,HOT GIRL SUMMER,MEGAN THEE STALLION/MINAJ,300 ENTERTAINMENT,40,9,October 11 2019
1193,94,            80,        ,FREDDY,FREDO,WARNER RECORDS,53,4,October 11 2019
1194,95,            84,        ,SWEET BUT PSYCHO,AVA MAX,ATLANTIC,1,51,October 11 2019
1195,96,            94,        ,TOAST,KOFFEE,COLUMBIA,70,15,October 11 2019
1196,97,            99,        ,F.N,LIL TJAY,COLUMBIA,79,7,October 11 2019
1197,98,            Re,        ,ALL THE GOOD GIRLS GO TO HELL,BILLIE EILISH,INTERSCOPE,77,3,October 11 2019
1198,99,            New,        ,TRAMPOLINE,SHAED,CAROLINE,99,1,October 11 2019
1199,100,            Re,        ,TAKEAWAY,CHAINSMOKERS/ILLENIUM/STELLA,DISRUPTOR,64,10,October 11 2019
1200,1,            7,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,9,October 04 2019
1201,2,            5,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,7,October 04 2019
1202,3,            4,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,31,October 04 2019
1203,4,            2,        ,TASTE (MAKE IT SHAKE),AITCH,SINCE 93,2,9,October 04 2019
1204,5,            3,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,14,October 04 2019
1205,6,            9,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,5,5,October 04 2019
1206,7,            6,        ,SORRY,JOEL CORRY,PERFECT HAVOC,6,13,October 04 2019
1207,8,            8,        ,3 NIGHTS,DOMINIC FIKE,COLUMBIA,3,22,October 04 2019
1208,9,            10,        ,STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,BLACK BUTTER,9,17,October 04 2019
1209,10,            11,        ,RANSOM,LIL TECCA,GALACTIC,7,16,October 04 2019
1210,11,            82,        ,BRUISES,LEWIS CAPALDI,EMI,11,18,October 04 2019
1211,12,            13,        ,HOW DO YOU SLEEP,SAM SMITH,CAPITOL,7,11,October 04 2019
1212,13,            1,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,10,October 04 2019
